Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Landingly,Chrome 117.0.0.0,,,2023-10-09 19:38:22,2023-10-09 19:55:59,17m - 37.395s,FAILED
,,,,,,,
Test Cases/Contacts/TC001-contacts-Verify user can add new contact,Chrome 117.0.0.0,,,2023-10-09 19:38:23,2023-10-09 19:39:01,37.940s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-10-09 19:38:25,2023-10-09 19:38:33,8.109s,PASSED
maximizeWindow(),Chrome 117.0.0.0,,,2023-10-09 19:38:33,2023-10-09 19:38:33,0.490s,PASSED
"navigateToUrl(""https://app.landingly.com/"")",Chrome 117.0.0.0,,,2023-10-09 19:38:33,2023-10-09 19:38:42,8.910s,PASSED
"setText(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Login/input_Email_login-email""), ""sqaahmadtahir@gmail.com"")",Chrome 117.0.0.0,,,2023-10-09 19:38:42,2023-10-09 19:38:44,1.729s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Login/input_Forgot Password_login-password""), ""/5S6MFFLcE5DAenbZpYNsQ=="")",Chrome 117.0.0.0,,,2023-10-09 19:38:44,2023-10-09 19:38:45,1.032s,PASSED
"click(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Login/button_Sign in""))",Chrome 117.0.0.0,,,2023-10-09 19:38:45,2023-10-09 19:38:46,0.715s,PASSED
"click(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly/a_Contacts""))",Chrome 117.0.0.0,,,2023-10-09 19:38:46,2023-10-09 19:38:48,2.604s,PASSED
"click(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Contacts/button_New Contact""))",Chrome 117.0.0.0,,,2023-10-09 19:38:48,2023-10-09 19:38:51,3.200s,PASSED
"setText(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Contacts/input__Name""), ""new test contact"")",Chrome 117.0.0.0,,,2023-10-09 19:38:51,2023-10-09 19:38:54,2.768s,PASSED
address = customKeywords.Emailautomation.populateEmail(),Chrome 117.0.0.0,,,2023-10-09 19:38:54,2023-10-09 19:38:54,0.044s,PASSED
"setText(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Contacts/input__Email""), address)",Chrome 117.0.0.0,,,2023-10-09 19:38:54,2023-10-09 19:38:56,1.367s,PASSED
"click(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Contacts/input__ProjectIds""))",Chrome 117.0.0.0,,,2023-10-09 19:38:56,2023-10-09 19:38:56,0.855s,PASSED
"click(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Contacts/span_new optin project""))",Chrome 117.0.0.0,,,2023-10-09 19:38:56,2023-10-09 19:38:57,0.707s,PASSED
"click(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Contacts/button_Save""))",Chrome 117.0.0.0,,,2023-10-09 19:38:57,2023-10-09 19:38:58,0.738s,PASSED
"verifyElementText(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Contacts/div_Contact is added successfully""), ""Contact is added successfully"")",Chrome 117.0.0.0,,,2023-10-09 19:38:58,2023-10-09 19:39:00,1.896s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-10-09 19:39:00,2023-10-09 19:39:01,1.135s,PASSED
,,,,,,,
Test Cases/Dashboard/TC014-Verify user can click on continue button,Chrome 117.0.0.0,,,2023-10-09 19:39:01,2023-10-09 19:39:23,21.998s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-10-09 19:39:02,2023-10-09 19:39:05,2.896s,PASSED
maximizeWindow(),Chrome 117.0.0.0,,,2023-10-09 19:39:05,2023-10-09 19:39:05,0.308s,PASSED
"navigateToUrl(""https://app.landingly.com/"")",Chrome 117.0.0.0,,,2023-10-09 19:39:05,2023-10-09 19:39:11,5.542s,PASSED
"setText(findTestObject(""Object Repository/Dashboard/TC014-Verify user can click on continue button/Page_Landingly  Login/input_Email_login-email""), ""sqaahmadtahir@gmail.com"")",Chrome 117.0.0.0,,,2023-10-09 19:39:11,2023-10-09 19:39:12,1.286s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Dashboard/TC014-Verify user can click on continue button/Page_Landingly  Login/input_Forgot Password_login-password""), ""/5S6MFFLcE5DAenbZpYNsQ=="")",Chrome 117.0.0.0,,,2023-10-09 19:39:12,2023-10-09 19:39:13,0.790s,PASSED
"click(findTestObject(""Object Repository/Dashboard/TC014-Verify user can click on continue button/Page_Landingly  Login/button_Sign in""))",Chrome 117.0.0.0,,,2023-10-09 19:39:13,2023-10-09 19:39:13,0.579s,PASSED
"click(findTestObject(""Object Repository/Dashboard/TC014-Verify user can click on continue button/Page_Landingly/button_Continue""))",Chrome 117.0.0.0,,,2023-10-09 19:39:13,2023-10-09 19:39:16,2.689s,PASSED
"verifyElementText(findTestObject(""Object Repository/Dashboard/TC014-Verify user can click on continue button/Page_Landingly  Projects/h2_Projects""), ""Projects"")",Chrome 117.0.0.0,,,2023-10-09 19:39:16,2023-10-09 19:39:21,5.463s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-10-09 19:39:21,2023-10-09 19:39:23,1.428s,PASSED
,,,,,,,
Test Cases/Dashboard/TC015-Verify user can change theme dark-light,Chrome 117.0.0.0,,,2023-10-09 19:39:23,2023-10-09 19:39:27,4.310s,FAILED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-10-09 19:39:24,2023-10-09 19:39:27,3.152s,FAILED
,,,,,,,
Test Cases/Login/TC001-Validlogin,Chrome 117.0.0.0,,,2023-10-09 19:39:27,2023-10-09 19:39:43,15.596s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-10-09 19:39:28,2023-10-09 19:39:31,2.865s,PASSED
maximizeWindow(),Chrome 117.0.0.0,,,2023-10-09 19:39:31,2023-10-09 19:39:32,0.237s,PASSED
"navigateToUrl(""https://app.landingly.com/"")",Chrome 117.0.0.0,,,2023-10-09 19:39:32,2023-10-09 19:39:39,7.179s,PASSED
"setText(findTestObject(""Object Repository/Login/TC001-Validlogin/Page_Landingly  Login/input_Email_login-email""), ""sqaahmadtahir@gmail.com"")",Chrome 117.0.0.0,,,2023-10-09 19:39:39,2023-10-09 19:39:40,1.367s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/TC001-Validlogin/Page_Landingly  Login/input_Forgot Password_login-password""), ""/5S6MFFLcE5DAenbZpYNsQ=="")",Chrome 117.0.0.0,,,2023-10-09 19:39:40,2023-10-09 19:39:41,0.801s,PASSED
"click(findTestObject(""Object Repository/Login/TC001-Validlogin/Page_Landingly  Login/button_Sign in""))",Chrome 117.0.0.0,,,2023-10-09 19:39:41,2023-10-09 19:39:42,0.681s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-10-09 19:39:42,2023-10-09 19:39:43,1.192s,PASSED
,,,,,,,
Test Cases/Login/TC002-Valid Email and Invalid Password,Chrome 117.0.0.0,,,2023-10-09 19:39:43,2023-10-09 19:39:59,16.058s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-10-09 19:39:44,2023-10-09 19:39:47,2.849s,PASSED
"navigateToUrl(""https://app.landingly.com/"")",Chrome 117.0.0.0,,,2023-10-09 19:39:47,2023-10-09 19:39:53,6.736s,PASSED
"setText(findTestObject(""Object Repository/Login/TC002-Valid Email and Invalid Password/Page_Landingly  Login/input_Email_login-email""), ""sqaahmadtahir@gmail.com"")",Chrome 117.0.0.0,,,2023-10-09 19:39:53,2023-10-09 19:39:55,1.255s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/TC002-Valid Email and Invalid Password/Page_Landingly  Login/input_Forgot Password_login-password""), ""aeHFOx8jV/A="")",Chrome 117.0.0.0,,,2023-10-09 19:39:55,2023-10-09 19:39:55,0.709s,PASSED
"click(findTestObject(""Object Repository/Login/TC002-Valid Email and Invalid Password/Page_Landingly  Login/button_Sign in""))",Chrome 117.0.0.0,,,2023-10-09 19:39:55,2023-10-09 19:39:56,0.713s,PASSED
"verifyElementText(findTestObject(""Object Repository/Login/TC002-Valid Email and Invalid Password/Page_Landingly  Login/h5_Invalid Login Attempt""), ""Invalid Login Attempt"")",Chrome 117.0.0.0,,,2023-10-09 19:39:56,2023-10-09 19:39:58,1.803s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-10-09 19:39:58,2023-10-09 19:39:59,1.034s,PASSED
,,,,,,,
Test Cases/Login/TC003-Invalid Email and valid Password,Chrome 117.0.0.0,,,2023-10-09 19:39:59,2023-10-09 19:40:17,17.859s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-10-09 19:40:00,2023-10-09 19:40:03,3.018s,PASSED
maximizeWindow(),Chrome 117.0.0.0,,,2023-10-09 19:40:03,2023-10-09 19:40:03,0.191s,PASSED
"navigateToUrl(""https://app.landingly.com/"")",Chrome 117.0.0.0,,,2023-10-09 19:40:03,2023-10-09 19:40:09,5.545s,PASSED
"setText(findTestObject(""Object Repository/Login/TC003-Invalid Email and valid Password/Page_Landingly  Login/input_Email_login-email""), ""sqahmadtahir@gmail.com"")",Chrome 117.0.0.0,,,2023-10-09 19:40:09,2023-10-09 19:40:10,1.253s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/TC003-Invalid Email and valid Password/Page_Landingly  Login/input_Forgot Password_login-password""), ""/5S6MFFLcE5DAenbZpYNsQ=="")",Chrome 117.0.0.0,,,2023-10-09 19:40:10,2023-10-09 19:40:11,0.805s,PASSED
"click(findTestObject(""Login/TC003-Invalid Email and valid Password/Page_Landingly  Login/button_Sign in""))",Chrome 117.0.0.0,,,2023-10-09 19:40:11,2023-10-09 19:40:12,0.662s,PASSED
"verifyElementText(findTestObject(""Object Repository/Login/TC003-Invalid Email and valid Password/Page_Landingly  Login/h5_Invalid Login Attempt""), ""Invalid Login Attempt"")",Chrome 117.0.0.0,,,2023-10-09 19:40:12,2023-10-09 19:40:16,4.135s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-10-09 19:40:16,2023-10-09 19:40:17,1.094s,PASSED
,,,,,,,
Test Cases/Login/TC004-Empty Login Fields,Chrome 117.0.0.0,,,2023-10-09 19:40:17,2023-10-09 19:40:31,14.073s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-10-09 19:40:18,2023-10-09 19:40:21,2.970s,PASSED
maximizeWindow(),Chrome 117.0.0.0,,,2023-10-09 19:40:21,2023-10-09 19:40:21,0.191s,PASSED
"navigateToUrl(""https://app.landingly.com/"")",Chrome 117.0.0.0,,,2023-10-09 19:40:21,2023-10-09 19:40:29,8.226s,PASSED
"verifyElementNotClickable(findTestObject(""Object Repository/Login/TC004-Empty Login Fields/Page_Landingly  Login/button_Sign in""))",Chrome 117.0.0.0,,,2023-10-09 19:40:29,2023-10-09 19:40:30,0.617s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-10-09 19:40:30,2023-10-09 19:40:31,1.031s,PASSED
,,,,,,,
Test Cases/Login/TC005-Invalid Email and invalid Password,Chrome 117.0.0.0,,,2023-10-09 19:40:31,2023-10-09 19:40:46,14.656s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-10-09 19:40:32,2023-10-09 19:40:35,2.761s,PASSED
"navigateToUrl(""https://app.landingly.com/"")",Chrome 117.0.0.0,,,2023-10-09 19:40:35,2023-10-09 19:40:40,5.538s,PASSED
"setText(findTestObject(""Object Repository/Login/TC005-Invalid Email and invalid Password/Page_Landingly  Login/input_Email_login-email""), ""sqahmadtahri@gmail.com"")",Chrome 117.0.0.0,,,2023-10-09 19:40:40,2023-10-09 19:40:41,1.187s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/TC005-Invalid Email and invalid Password/Page_Landingly  Login/input_Forgot Password_login-password""), ""iGDxf8hSRT4="")",Chrome 117.0.0.0,,,2023-10-09 19:40:41,2023-10-09 19:40:42,0.666s,PASSED
